gene_id,S1.c2,S10.c2,S11.c2,S12.c2,S2.c2,S3.c2,S4.c2,S5.c2,S6.c2,S7.c2,S8.c2,S9.c2
Neurod1,0,0,0,0,0,0,0,0,0,0,0,0
Thnsl1,136,223,153,113,138,74,115,130,131,102,143,157
Olfr152,0,0,0,0,0,0,0,0,0,0,0,0
Olfr153,0,0,0,0,0,0,0,0,0,0,0,0
Lcmt2,884,1209,720,659,638,465,898,561,503,325,713,910
Olfr154,0,0,0,0,0,0,0,0,0,0,0,0
Lmx1b,0,0,0,0,0,0,0,0,0,0,0,0
Defb45,0,0,0,0,0,0,0,0,0,0,0,0
Rnd3,3250,4451,3440,2505,2837,1600,3361,3232,3109,2804,5378,3742
Mapkbp1,1123,1399,1033,1070,1076,513,1087,1019,1346,900,1891,1211
Cass4,1882,1628,1278,957,1104,614,1287,1285,1108,769,1881,1769
Ppp2r4,3345,3930,3327,2569,2871,1372,2779,3735,4308,2636,5773,3728
Swi5,2513,3563,2836,2069,2261,1157,2504,2225,3654,2202,4468,2924
Pomt1,1567,1724,1368,1131,1375,610,1290,1144,1202,661,1666,1604
Bmp7,409,472,412,351,356,211,306,288,215,132,331,584
Qser1,1329,1589,1303,1090,1350,683,1460,1429,1669,1126,2109,1517
Gm14204,0,0,0,0,0,0,0,0,0,0,0,0
Bmp2,195,326,256,304,220,133,219,146,147,88,227,363
Gm14207,0,0,0,0,0,0,0,0,0,0,0,0
Il1bos,0,0,0,0,0,0,0,0,0,0,0,0
Rxra,4463,4102,3920,3063,3572,1796,3606,3472,3941,2696,5700,4397
1110008F13Rik,991,1121,869,763,877,388,951,1227,1439,871,1967,1040
9030204H09Rik,0,0,0,0,0,0,0,0,0,0,0,0
Tmem141,87,136,114,79,107,35,89,130,126,74,161,112
Chst1,499,688,530,436,370,209,353,460,416,198,483,803
Baz2b,2321,2637,2200,1781,1967,935,2069,1719,1696,1445,3133,2624
